"COL_PROJECT_ID","COL_COVER_PAR","COL_COVER_POL","COL_PRIORITY","COL_SUBJ_OWNER","COL_NAME","COL_PLACE_CODE","COL_SUBJ_CODE","COL_YEAR_START","COL_YEAR_END","COL_COST_IN_EXP_ALL","COL_COST_ALL","COL_COST_FILL_TO_BEF_2","COL_COST_FILL_TO_BEF_1","COL_COST_NEED_0","COL_COST_NO_PUMP_BEF_1","COL_COST_GR_A_0","COL_COST_ALT_SRC_REQ","COL_COST_GR_F_0","COL_COST_GR_B_0","COL_COST_GR_C_0","COL_COST_GR_A_1","COL_COST_GR_C_1","COL_COST_GR_SUM_1","COL_COST_GR_A_2","COL_COST_GR_C_2","COL_COST_GR_SUM_2","COL_COST_GR_A_3","COL_COST_GR_C_3","COL_COST_GR_SUM_3","COL_COST_AFT",
"0766/19","3311","6351",1,"Národní divadlo moravskoslezské","NDM - Rekonstrukce pavilonu G Èerná louka","Moravská Ostrava a Pøívoz","Národní divadlo moravskoslezské",2018,2026,0,455731355,3124355,0,246500000,80000000,120000000,0,0,0,46500000,148649000,3500000,152149000,53958000,0,53958000,0,0,0,0,
"0264/22","6171","6125",2,"odbor projektù IT slueb a outsourcingu - oblast GIS (ORJ 134),odbor projektù IT slueb a outsourcingu (ORJ 133) ","NGFW - perimetr serverové zóny ","statutární mìsto Ostrava","Magistrát mìsta Ostravy",2025,2025,0,2400000,0,0,0,0,0,0,0,0,0,2400000,0,2400000,0,0,0,0,0,0,0,
"0014/21","2219","6121",1,"odbor investièní (ORJ 230)","Parkovací dùm za katedrálou","Moravská Ostrava a Pøívoz","Magistrát mìsta Ostravy",2019,2027,0,691620791,12981694,13570077,22536000,466000,22070000,0,0,0,0,256613208,0,256613208,256613208,0,256613208,129306604,0,129306604,0,
"0258/19","2310","6121",2,"odbor investièní (ORJ 230)","Ul. Kleèkova - rekonstrukce vodovodu a dostavba kanalizace","Stará Bìlá","Magistrát mìsta Ostravy",2016,2028,0,10000000,0,0,0,0,0,0,0,0,0,0,100000,100000,0,400000,400000,0,500000,500000,9000000,
"0258/19","2321","6121",2,"odbor investièní (ORJ 230)","Ul. Kleèkova - rekonstrukce vodovodu a dostavba kanalizace","Stará Bìlá","Magistrát mìsta Ostravy",2016,2028,0,47200000,1052000,55000,97000,0,17000,0,80000,0,0,0,300000,300000,0,1000000,1000000,0,6000000,6000000,38696000,
"1169/19","3741","6121",4,"Zoologická zahrada a botanickı park Ostrava","Expozice tuèòáci v Zoo Ostrava","Slezská Ostrava","Magistrát mìsta Ostravy",2008,2026,0,160357969,5657969,0,30000000,0,30000000,0,0,0,0,77350000,0,77350000,47350000,0,47350000,0,0,0,0,
"0308/22","6330","6363",1,"MOb Nová Bìlá","Obecní dùm pro seniory, mladé rodiny a sluby v Nové Bìlé","Nová Bìlá","MOb Nová Bìlá",2022,2025,0,97681500,181500,2500000,0,0,0,0,0,0,0,0,47500000,47500000,40000000,7500000,47500000,0,0,0,0,
"0357/22","3631","6121",2,"odbor dopravy (ORJ 100)","Rekonstrukce veøejného osvìtlení - Ostrava, ul. Místecká","Hrabová,Moravská Ostrava a Pøívoz,Ostrava - Jih,Vítkovice","Magistrát mìsta Ostravy",2022,2025,8704529,11947453,650000,0,10858453,0,0,0,0,10858453,0,439000,0,439000,0,0,0,0,0,0,0,
"0212/20","6330","6363",1,"MOb Michálkovice","Revitalizace veøejného pohøebištì a blízkého okolí","Michálkovice","MOb Michálkovice",2020,2024,0,5357806,4058074,999732,300000,0,0,0,240000,0,60000,0,0,0,0,0,0,0,0,0,0,
"0851/19","2143","6313",1,"Èerná louka s.r.o.","Hradní terasa Luèina + obèerstvení (sanace hradeb)","Slezská Ostrava","Èerná louka s.r.o.",2020,2025,0,7200000,100000,1800000,0,0,0,0,0,0,0,5300000,0,5300000,0,0,0,0,0,0,0,
"","6330","6363",1,"odbor financí a rozpoètu (ORJ 120)","MOb Vítkovice - Investièní neúèelová dotace","Vítkovice","MOb Vítkovice",2024,2024,0,12035000,0,0,12035000,0,12035000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"0346/22","2219","6122",1,"odbor dopravy (ORJ 100)","Sèítaèe cyklistù a chodcù","statutární mìsto Ostrava","Magistrát mìsta Ostravy",2023,2025,0,2914550,0,1134550,850000,850000,0,0,0,0,0,930000,0,930000,0,0,0,0,0,0,0,
"0232/23","6171","6125",1,"odbor projektù IT slueb a outsourcingu - oblast GIS (ORJ 134),odbor projektù IT slueb a outsourcingu (ORJ 133) ","Pøevod ekonomickıch systémù PO do ICT centra a vytvoøení technologického prostøedí ","statutární mìsto Ostrava","Magistrát mìsta Ostravy",2024,2026,0,2240000,0,0,2240000,0,2240000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"0150/23","6330","6363",1,"MOb Hrabová","Vybudování chodníku a cyklostezky","Hrabová","MOb Hrabová",2023,2025,0,1619790,0,119790,0,0,0,0,0,0,0,1350000,150000,1500000,0,0,0,0,0,0,0,
"0284/22","3233","6351",3,"Støedisko volného èasu Ostrava-Zábøeh","Rekonstrukce vıtvarné a grafické uèebny (SVÈ Zábøeh)","Ostrava - Jih","Støedisko volného èasu Ostrava-Zábøeh",2022,2027,0,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000,0,1500000,0,
"0328/22","3639","6121",1,"odbor investièní (ORJ 230)","Veøejné prostranství  Námìstí Dr. E. Beneše ","Moravská Ostrava a Pøívoz","Magistrát mìsta Ostravy",2022,2026,0,44307880,0,1982000,3602000,2209000,1393000,0,0,0,0,20105000,0,20105000,18618880,0,18618880,0,0,0,0,
"0295/23","6330","6363",3,"MOb Moravská Ostrava a Pøívoz","Rekonstrukce vıtahù v BD Maroldova 3","Moravská Ostrava a Pøívoz","MOb Moravská Ostrava a Pøívoz",2025,2025,0,10500000,0,0,0,0,0,0,0,0,0,0,10500000,10500000,0,0,0,0,0,0,0,
"0203/23","3412","6313",1,"Sportovní a rekreaèní zaøízení mìsta Ostravy, s.r.o.","Rekonstrukce vstupního pøedprostoru KBOP","Poruba","Sportovní a rekreaèní zaøízení mìsta Ostravy, s.r.o.",2023,2025,0,16200000,0,0,8000000,0,8000000,0,0,0,0,8200000,0,8200000,0,0,0,0,0,0,0,
"0180/23","2143","6313",1,"Èerná louka s.r.o.","IT Slezskoostravskı Hrad","Slezská Ostrava","Èerná louka s.r.o.",2025,2025,0,600000,0,0,0,0,0,0,0,0,0,600000,0,600000,0,0,0,0,0,0,0,
"0019/21","2310","6121",1,"odbor investièní (ORJ 230)","Vıtlaèné potrubí sanaèních vod z ÚV Nová Ves","Nová Ves","Magistrát mìsta Ostravy",2020,2025,0,14248000,363000,0,1067000,897000,30000,0,140000,0,0,918000,11900000,12818000,0,0,0,0,0,0,0,
"0042/22","6171","6121",4,"odbor investièní (ORJ 230)","Nová radnice - rekonstrukce fasád","Moravská Ostrava a Pøívoz","Magistrát mìsta Ostravy",2022,2028,0,206085000,835000,0,121000,121000,0,0,0,0,0,0,0,0,45129000,0,45129000,40000000,0,40000000,120000000,
"1070/19","4350","6351",3,"Domov Sluneènice, Ostrava-Poruba","Zastøešení atria budovy D2","Poruba","Domov Sluneènice, Ostrava-Poruba",2027,2027,0,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000,0,1500000,0,
"1222/19","3631","6121",3,"odbor investièní (ORJ 230)","Rekonstrukce VO oblast Boøivojova - Vıhradní","Slezská Ostrava","Magistrát mìsta Ostravy",2020,2026,0,9277920,183920,0,9094000,94000,9000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
